1	5.00	5.00
2	13.50	5.00
3	22.00	5.00
4	30.50	5.00
5	39.00	5.00
6	47.50	5.00
7	56.00	5.00
8	64.50	5.00
9	73.00	5.00
10	81.50	5.00
11	5.00	13.50
12	13.50	13.50
13	22.00	13.50
14	30.50	13.50
15	39.00	13.50
16	47.50	13.50
17	56.00	13.50
18	64.50	13.50
19	73.00	13.50
20	81.50	13.50
21	5.00	22.00
22	13.50	22.00
23	22.00	22.00
24	30.50	22.00
25	39.00	22.00
26	47.50	22.00
27	56.00	22.00
28	64.50	22.00
29	73.00	22.00
30	81.50	22.00
31	5.00	30.50
32	13.50	30.50
33	22.00	30.50
34	30.50	30.50
35	39.00	30.50
36	47.50	30.50
37	56.00	30.50
38	64.50	30.50
39	73.00	30.50
40	81.50	30.50
41	5.00	39.00
42	13.50	39.00
43	22.00	39.00
44	30.50	39.00
45	39.00	39.00
46	47.50	39.00
47	56.00	39.00
48	64.50	39.00
49	73.00	39.00
50	81.50	39.00
51	5.00	47.50
52	13.50	47.50
53	22.00	47.50
54	30.50	47.50
55	39.00	47.50
56	47.50	47.50
57	56.00	47.50
58	64.50	47.50
59	73.00	47.50
60	81.50	47.50
61	5.00	56.00
62	13.50	56.00
63	22.00	56.00
64	30.50	56.00
65	39.00	56.00
66	47.50	56.00
67	56.00	56.00
68	64.50	56.00
69	73.00	56.00
70	81.50	56.00
71	5.00	64.50
72	13.50	64.50
73	22.00	64.50
74	30.50	64.50
75	39.00	64.50
76	47.50	64.50
77	56.00	64.50
78	64.50	64.50
79	73.00	64.50
80	81.50	64.50
81	5.00	73.00
82	13.50	73.00
83	22.00	73.00
84	30.50	73.00
85	39.00	73.00
86	47.50	73.00
87	56.00	73.00
88	64.50	73.00
89	73.00	73.00
90	81.50	73.00
91	5.00	81.50
92	13.50	81.50
93	22.00	81.50
94	30.50	81.50
95	39.00	81.50
96	47.50	81.50
97	56.00	81.50
98	64.50	81.50
99	73.00	81.50
100	81.50	81.50

